timestamp,open,high,low,close,volume
2018-08-17 16:00:00,316.9500,317.1100,316.5900,316.7800,567452
2018-08-17 15:30:00,316.9120,317.2800,315.8490,316.9200,664655
2018-08-17 14:30:00,315.2900,317.4800,315.1700,316.6850,662765
2018-08-17 13:30:00,317.1400,317.1400,314.9900,315.0690,643573
2018-08-17 12:30:00,315.6500,319.2170,315.6500,317.3900,1071907
2018-08-17 11:30:00,315.8450,316.3410,313.1000,315.5240,1493600
2018-08-17 10:30:00,318.6000,323.7500,314.1000,315.3850,2791849
2018-08-16 16:00:00,323.6700,323.6700,321.4100,322.4500,964611
2018-08-16 15:30:00,324.4610,325.2280,323.8200,323.9510,564105
2018-08-16 14:30:00,327.0300,327.4500,324.5000,324.5000,441100
2018-08-16 13:30:00,327.1000,327.6900,326.5400,327.0300,356336
2018-08-16 12:30:00,328.3890,329.1100,327.1300,327.2250,393084
2018-08-16 11:30:00,328.6920,328.9400,326.9380,327.9450,561348
2018-08-16 10:30:00,330.6350,330.6350,326.5300,328.7600,1576119
2018-08-15 16:00:00,326.2200,326.7000,325.6900,326.4400,616050
2018-08-15 15:30:00,324.2200,326.5200,323.9140,326.3420,562691
2018-08-15 14:30:00,325.3400,326.2400,324.1100,324.2100,551297
2018-08-15 13:30:00,325.2500,326.9900,325.1300,325.3900,799720
2018-08-15 12:30:00,324.1700,324.9500,321.8230,324.7100,983406
2018-08-15 11:30:00,322.1120,325.5800,321.9000,324.0600,1669904
2018-08-15 10:30:00,333.5350,335.4180,321.5390,321.5390,3337799
2018-08-14 16:00:00,337.7500,337.7500,337.0300,337.4800,429327
2018-08-14 15:30:00,338.1500,338.5400,337.4680,337.8100,448967
2018-08-14 14:30:00,338.5900,339.1400,337.9800,338.0000,269468
2018-08-14 13:30:00,339.7590,340.3600,338.1700,338.4000,382420
2018-08-14 12:30:00,339.0550,339.8400,338.1410,339.8400,403761
2018-08-14 11:30:00,337.6900,339.9670,337.6900,338.7100,824013
2018-08-14 10:30:00,342.2300,342.2300,336.5500,337.8300,1416967
2018-08-13 16:00:00,341.5900,342.1200,341.2200,341.3200,529171
2018-08-13 15:30:00,344.1400,344.2650,341.9400,341.9400,363830
2018-08-13 14:30:00,344.1400,344.1400,342.9990,344.1250,325878
2018-08-13 13:30:00,343.3100,344.1800,342.3200,343.4720,312470
2018-08-13 12:30:00,342.5550,344.6400,341.8300,343.1940,691955
2018-08-13 11:30:00,346.2900,346.2900,342.5500,342.5800,840708
2018-08-13 10:30:00,341.3700,347.0550,341.3700,345.6310,1855605
2018-08-10 16:00:00,345.9900,346.1750,345.5300,345.7900,308521
2018-08-10 15:30:00,344.9900,346.3600,344.9250,345.9900,387747
2018-08-10 14:30:00,347.2700,347.2700,344.8100,344.8100,348778
2018-08-10 13:30:00,348.4700,348.8700,347.0050,347.1400,239566
2018-08-10 12:30:00,348.3350,348.8000,347.3200,348.4400,245678
2018-08-10 11:30:00,347.5430,348.7700,345.7600,348.2400,552839
2018-08-10 10:30:00,346.6170,348.1660,344.6900,347.1800,967285
2018-08-09 16:00:00,349.6900,349.9500,349.0100,349.3700,352411
2018-08-09 15:30:00,349.5340,350.4320,349.4200,349.5350,260687
2018-08-09 14:30:00,350.0250,350.7150,349.3700,349.3700,283396
2018-08-09 13:30:00,349.2000,350.1300,348.6630,349.8500,301240
2018-08-09 12:30:00,350.9900,350.9900,348.8700,349.1900,409219
2018-08-09 11:30:00,351.9760,352.2300,350.3950,351.0800,536635
2018-08-09 10:30:00,347.7030,351.7220,346.6010,351.4940,1275929
2018-08-08 16:00:00,348.0240,348.4680,347.5900,347.5900,352424
2018-08-08 15:30:00,348.8500,348.9050,347.9700,348.2800,269949
2018-08-08 14:30:00,348.0750,349.0170,347.9020,348.9700,377355
2018-08-08 13:30:00,347.0300,348.1500,346.7800,347.7290,527763
2018-08-08 12:30:00,349.8720,350.2700,346.7000,346.9850,788169
2018-08-08 11:30:00,350.1100,351.9610,349.4560,349.5400,635606
2018-08-08 10:30:00,351.3800,351.9950,349.3500,349.8780,1055533
2018-08-07 16:00:00,351.9000,352.1000,351.3600,351.8300,365893
2018-08-07 15:30:00,352.6100,352.8740,351.4300,351.9470,419886
2018-08-07 14:30:00,351.6700,353.5600,351.6700,352.8700,427730
2018-08-07 13:30:00,351.0500,352.8700,351.0500,351.4550,497724
2018-08-07 12:30:00,349.6100,351.7980,349.5800,351.4000,605306
2018-08-07 11:30:00,354.6480,354.6480,349.4610,349.4610,1290569
2018-08-07 10:30:00,354.0700,357.0000,352.3200,354.1000,2440078
2018-08-06 16:00:00,350.2150,350.9900,350.2150,350.9100,659850
2018-08-06 15:30:00,351.0900,351.9130,349.5730,349.9500,1020271
2018-08-06 14:30:00,349.2350,351.1600,347.9400,351.1600,849270
2018-08-06 13:30:00,347.9900,349.3900,347.6980,349.3900,721968
2018-08-06 12:30:00,345.3880,348.0800,345.3880,347.8300,931879
2018-08-06 11:30:00,344.6220,345.8800,343.8500,345.5750,723408
2018-08-06 10:30:00,342.3000,345.9960,342.0000,344.3050,1221521
2018-08-03 16:00:00,342.7250,343.0900,342.3800,343.0900,535255
2018-08-03 15:30:00,342.4450,342.7250,341.3800,342.7000,498753
2018-08-03 14:30:00,339.4370,342.3900,338.8800,342.1200,737180
2018-08-03 13:30:00,340.7900,341.3700,338.6800,339.2800,738131
2018-08-03 12:30:00,341.0190,341.3300,339.5500,340.6850,648715
2018-08-03 11:30:00,344.6660,344.6660,341.2500,341.7600,939104
2018-08-03 10:30:00,345.8020,347.4800,342.6120,344.6920,1780515
2018-08-02 16:00:00,344.3300,344.7100,343.8500,344.5000,443804
2018-08-02 15:30:00,342.6600,344.5000,342.6600,344.0700,457834
2018-08-02 14:30:00,343.9550,344.9130,342.3000,342.6400,522057
2018-08-02 13:30:00,341.8900,343.9800,341.4700,343.7500,662060
2018-08-02 12:30:00,339.2210,342.1520,339.0950,342.1520,688643
2018-08-02 11:30:00,339.1200,340.7550,337.4600,338.6450,731679
2018-08-02 10:30:00,337.0300,339.8400,335.0490,339.1400,1753242
2018-08-01 16:00:00,339.1000,339.5740,338.3000,338.3000,366686
2018-08-01 15:30:00,339.8100,339.8300,338.0400,339.3000,476560
2018-08-01 14:30:00,338.5500,339.6190,336.5600,339.6190,557015
2018-08-01 13:30:00,338.0000,339.9280,337.6200,338.5000,486031
2018-08-01 12:30:00,339.9450,339.9450,336.9200,338.3830,745242
2018-08-01 11:30:00,343.3600,343.3600,339.6200,340.1150,896685
2018-08-01 10:30:00,337.7900,343.9800,335.2500,343.1860,2210146
2018-07-31 16:00:00,338.6850,338.6850,336.3800,337.4100,934363
2018-07-31 15:30:00,340.8870,340.9000,338.3800,339.2040,728753
2018-07-31 14:30:00,338.8290,340.7900,338.4000,340.7900,675104
2018-07-31 13:30:00,340.6600,341.3480,338.6030,339.2000,1064524
2018-07-31 12:30:00,337.9960,342.3400,337.3660,341.2200,1784382
2018-07-31 11:30:00,331.1520,337.4700,331.1520,337.3700,1578115
2018-07-31 10:30:00,333.5500,338.7600,328.1800,330.8300,3837912
2018-07-30 16:00:00,335.0250,336.4200,334.1380,334.9800,1319914
2018-07-30 15:30:00,337.4310,338.5330,335.1700,335.1700,1392519
